Domain	Function	Head	Negator	Aux	Aux_stem	Subj	Subj_stem	Role	Utterance	Age
emotion	rejection	want	n't	would	will	I	I	Father	I would n't wan na have any trouble with our bumper	38
emotion	rejection	want	n't	do	do	you	you	Father	oh and you do n't wan na leave your store huh	38
emotion	rejection	want	n't	do	do	Care_Bear	Care_Bear	Mother	that Care_Bear do n't wan a get in the water he 's scared	39
emotion	rejection	want	n't	do	do	NONE	NONE	Target_Child	do n't wan na	28
emotion	rejection	want	n't	do	do	NONE	NONE	Target_Child	do n't wan na	28
emotion	rejection	want	n't	do	do	I	I	Mother	because I do n't wan na cut his feet	28
emotion	rejection	want	n't	do	do	I	I	Target_Child	I do n't wan na	28
emotion	rejection	want	n't	do	do	you	you	Mother	no you do n't wan na play with the animals	24
emotion	rejection	want	n't	does	do	she	she	Mother	and she does n't wan na hear lots_of boxes and	56
emotion	rejection	want	n't	do	do	I	I	Target_Child	I do n't want any more	56
emotion	rejection	want	n't	do	do	you	you	Target_Child	you do n't want any more do you Daddy	56
emotion	rejection	want	n't	do	do	I	I	Mother	I do n't want gravy 's on strawberries	56
emotion	rejection	like	n't	do	do	you	you	Father	you do n't like Daddy shouting do you	56
emotion	rejection	want	n't	do	do	I	I	Target_Child	I do n't want my tea	56
emotion	rejection	want	n't	do	do	I	I	Mother	I do n't want you to do it	56
emotion	rejection	want	n't	do	do	I	I	Mother	no I do n't wan na lie down	19
emotion	rejection	want	n't	do	do	you	you	Mother	no you do n't want the people	12
emotion	rejection	want	n't	do	do	you	you	Mother	you do n't want this	14
emotion	rejection	want	n't	did	do	she	she	Mother	she did n't want it	14
emotion	rejection	want	n't	do	do	you	you	Mother	no you do n't want him	14
emotion	rejection	want	n't	do	do	you	you	Mother	you do n't wan na play with the ball	14
emotion	rejection	like	n't	do	do	you	you	Mother	you do n't like that	14
emotion	rejection	want	n't	do	do	you	you	Mother	you do n't wan na color	14
emotion	rejection	want	n't	did	do	I	I	Target_Child	I had it for my birthday but I did n't want it	39
emotion	rejection	want	n't	do	do	I	I	Mother	I do n't want your apple	39
emotion	rejection	like	n't	do	do	I	I	Target_Child	I do n't like the water on me	39
emotion	rejection	want	n't	do	do	I	I	Mother	I do n't wan na sit in the boot	39
emotion	rejection	want	n't	do	do	I	I	Mother	I do n't want	39
emotion	rejection	like	n't	would	will	you	you	Mother	and you would n't like any of those things would you	57
emotion	rejection	like	n't	do	do	I	I	Mother	well I like vinegar but I do n't like you smelling of vinegar	57
emotion	rejection	want	n't	do	do	I	I	Mother	but I do n't wan na give you hiccups	57
emotion	rejection	want	n't	do	do	I	I	Mother	and I do n't wan na give you vinegar	57
emotion	rejection	want	n't	do	do	I	I	Mother	I do n't want her going through	57
emotion	rejection	want	n't	NONE	NONE	she	she	Mother	she wo n't wan na go near socks	57
emotion	rejection	want	n't	do	do	we	we	Mother	we do n't want people looking at us through the cab do we	57
emotion	rejection	like	n't	do	do	cats	cat	Mother	cats do n't like ss	57
emotion	rejection	want	n't	do	do	I	I	Target_Child	I do n't wan na call him	61
emotion	rejection	want	n't	do	do	I	I	Target_Child	maybe I do n't want it	61
emotion	rejection	want	n't	do	do	I	I	Mother	no I do n't want one my love thank_you	36
emotion	rejection	want	n't	do	do	we	we	Target_Child	we do n't want that one	36
emotion	rejection	want	n't	do	do	I	I	Target_Child	I do n't want	49
emotion	rejection	want	n't	do	do	I	I	Target_Child	I do n't want	49
emotion	rejection	want	n't	do	do	I	I	Target_Child	I do n't want him tear my books either	49
emotion	rejection	want	n't	do	do	I	I	Target_Child	I do n't wan a	49
emotion	rejection	like	n't	do	do	I	I	Target_Child	I do n't like worms	49
emotion	rejection	like	n't	do	do	I	I	Target_Child	I do n't like fish	49
emotion	rejection	like	n't	would	will	I	I	Mother	no I would n't like to catch a swordfish	49
